Country Name,Country,Year,AG.LND.FRST.K2,AG.SRF.TOTL.K2,BX.KLT.DINV.CD.WD,BX.TRF.PWKR.CD.DT,DT.DOD.DECT.CD,DT.ODA.ALLD.CD,DT.TDS.DECT.EX.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.POP.DNST,ER.H2O.FWTL.ZS,ER.PTD.TOTL.ZS,FS.AST.DOMS.GD.ZS,GC.REV.XGRT.GD.ZS,GC.TAX.TOTL.GD.ZS,IT.CEL.SETS.P2,MS.MIL.XPND.GD.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,SE.ENR.PRSC.FM.ZS,SE.PRM.CMPT.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SH.DYN.AIDS.ZS,SH.DYN.MORT,SH.IMM.MEAS,SH.STA.BRTC.ZS,SH.STA.MALN.ZS,SI.DST.FRST.20,SI.POV.DDAY,SI.POV.NAHC,SM.POP.NETM,SP.ADO.TFRT,SP.DYN.CONU.ZS,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,TX.VAL.TECH.MF.ZS,Adaptation,Disaster_Risk_Management,Loss_and_Damage,Mitigation
Andorra,AND,2019,160.0,470.0,,21100000.0,,,,,,162.710638297872,,26.7,,,,115.1500465,,,,,0.522633248415779,11.6998176283166,1.37475350829189,3155149347.80639,2.01554763848308,3552046783.07492,4823304975.79605,46450.0,63070.0,,64.2213592529297,89.352897644043,95.6840591430664,,3.0,99.0,,,,,,1245.0,3.526,,84.098,1.045,1.73050296926809,76474.0,1.64230431991604,,101.3067448116,32.5215915853416,1.0,0.0,0.0,1.0
Andorra,AND,2020,160.0,470.0,,47416323.7388305,,,,,,164.63829787234,,26.7,,,,103.4491634,,,,,0.559442769715814,12.6601582717327,1.11378607410401,2891001149.3611,-11.1839399355384,3284843013.4622,4557689155.83226,42450.0,58900.0,,62.7099685668945,88.7170867919922,96.4627532958984,,2.9,98.0,,,,,,572.0,3.119,,79.418,1.028,1.17775354895761,77380.0,1.09967556581028,57.4887353596277,104.3367920028,23.0406088299837,1.0,0.0,0.0,5.0
Andorra,AND,2021,160.0,470.0,,53001417.7730525,,,,,,166.731914893617,,26.9,,,,118.6729762,,,,,0.531844879169824,12.3626363853047,2.5588606935971,3324647529.381,8.28677879049404,3504828591.53463,5001856977.27531,44720.0,63830.0,,62.0689697265625,88.8840789794922,97.3252334594727,,2.8,99.0,,,,,,1514.0,3.5,,82.331,1.058,1.26362889534188,78364.0,1.19816158893275,51.9453561539362,92.8932972699,24.3806762508654,2.0,0.0,0.0,4.0
Andorra,AND,2022,160.0,470.0,,44577777.0540164,,,,,,169.585106382979,,26.9,,,,142.2141211,,,,,0.487491862156614,11.1453411041301,4.23665226454663,3380612573.32922,9.56461225648184,3997356408.2079,5997971077.07895,50150.0,75250.0,,,90.147346496582,97.4890365600586,,2.7,98.0,,,,,,1102.0,3.527,,84.016,1.071,1.69676808598242,79705.0,1.64366739605133,66.5559850824375,,13.3076613572665,8.0,0.0,0.0,9.0
Andorra,AND,2023,,,,48000000.0,,,,,,,,26.9,,,,,,,,,0.47849213558896,12.4282261796617,6.29560082401824,3785067331.7625,2.58355480961319,,,,,,69.3333282470703,97.6228637695312,99.7635498046875,,2.6,99.0,,,,,,1061.0,3.48,,84.041,1.082,1.43374756867515,80856.0,1.39189681969317,59.3648620499889,,21.4346319155008,0.0,0.0,0.0,4.0
Andorra,AND,2024,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.0,,,,,,,,,,,0.0,0.0,0.0,8.0
United Arab Emirates,ARE,2015,3173.0,98647.9,8550901850.0,,,,,14046.2870111674,10146.376786057,119.75833568009,1696.36363633333,15.9,,3.41465335552968,0.0558410691344118,201.219729,,96.8278056353074,22.3269675169666,72.6484310679123,0.723671593030506,43.3542449304817,-16.2670060316676,370275469560.166,6.78677287945216,412572607053.29,612869145739.18,48510.0,72060.0,,79.8213500976562,91.7827072143555,,0.1,7.7,99.0,99.9,,,,,342468.0,5.432,,82.076,1.417,5.38380162241984,8505237.0,5.73341141444288,152.290401702771,100.0,5.3019976880201,0.0,0.0,0.0,2.0
United Arab Emirates,ARE,2017,3173.0,98647.9,10354223000.0,,,,,13672.1157729536,8521.13677246594,129.867994931005,1630.0,11.6,100.296480087119,3.44936548008559,0.0656213981934939,218.6322987,,97.8543060321274,21.2814632324792,73.0665008487005,0.761757601656358,42.5280347654664,4.98621314114183,390516804016.501,0.735068713165646,381717868787.725,632041437006.404,41390.0,68530.0,0.948279976844788,,81.799201965332,81.2523574829102,0.1,7.0,99.0,,,,,,34155.0,4.547,,82.388,1.35,3.17379785893425,9223225.0,3.50246510916911,146.3025391286,102.6888773079,2.84060044002548,3.0,0.0,0.0,3.0
United Arab Emirates,ARE,2018,3173.0,98647.9,10385286000.0,,,,,13702.8027322154,8482.30317231137,131.606603773585,1667.33333333333,15.0438947733197,89.35644427914,3.35095997442941,0.0586388626972548,219.700673,,93.7169810173454,21.8306207829513,65.9257962668894,0.711463999831489,46.9189575898931,7.93674803487896,427049432149.345,1.31391388141118,405354216868.242,704007752260.489,43370.0,75320.0,,,,,0.1,6.7,99.0,99.2,,8.2,0.0,,14611.0,3.74,,82.449,1.288,1.32986873264335,9346701.0,1.64705938819708,148.14491072283,110.2376699338,2.90326432456259,0.0,0.0,0.0,2.0
United Arab Emirates,ARE,2019,3173.0,98647.9,17874660000.0,,,,,13914.1426572805,8816.50943614681,133.001760067587,1628.66666666667,15.0,96.1997591341184,4.6692064278284,0.972238389500718,212.804439,,96.8595999313045,24.0692780423757,73.2085188940452,0.746712201018526,44.5245160401163,-3.19440940863002,417989721734.494,1.10834813893099,425698094942.429,729820514869.756,45070.0,77260.0,0.994229972362518,84.0476379394531,90.9360885620117,82.3568878173828,0.1,6.3,99.0,,,,,,-125186.0,3.292,,82.596,1.247,1.0545163442516,9445785.0,1.36262455754539,162.175040378286,106.5356213019,2.99865577867219,1.0,0.0,0.0,0.0
